iter	Passed	Remaining
569	7947	12967
570	7958	12948
571	7970	12930
572	7985	12919
573	7996	12899
574	8006	12879
575	8016	12860
576	8026	12840
577	8037	12821
578	8048	12801
579	8058	12782
580	8080	12780
581	8090	12761
582	8100	12741
583	8110	12721
584	8121	12702
585	8159	12726
586	8170	12707
587	8180	12687
588	8190	12668
589	8200	12648
590	8211	12629
591	8221	12609
592	8234	12595
593	8250	12584
594	8282	12597
595	8297	12585
596	8313	12574
597	8323	12554
598	8333	12535
599	8344	12516
600	8360	12506
601	8371	12487
602	8392	12484
603	8408	12473
604	8418	12454
605	8440	12451
606	8450	12432
607	8471	12428
608	8481	12409
609	8502	12405
610	8513	12386
611	8534	12383
612	8544	12363
613	8554	12344
614	8566	12327
615	8576	12308
616	8597	12304
617	8613	12293
618	8645	12305
619	8655	12285
620	8666	12266
621	8677	12249
622	8688	12230
623	8707	12224
624	8722	12211
625	8732	12192
626	8754	12189
627	8770	12177
628	8780	12158
629	8802	12155
630	8812	12136
631	8833	12132
632	8844	12113
633	8864	12108
634	8875	12089
635	8896	12086
636	8911	12073
637	8921	12054
638	8932	12035
639	8942	12016
640	8959	12006
641	8969	11987
642	8979	11968
643	8990	11949
644	9001	11931
645	9011	11913
646	9036	11913
647	9047	11895
648	9068	11891
649	9084	11879
650	9094	11861
651	9105	11842
652	9116	11824
653	9125	11804
654	9136	11786
655	9146	11768
656	9157	11749
657	9167	11731
658	9177	11712
659	9188	11693
660	9198	11675
661	9208	11656
662	9219	11638
663	9230	11621
664	9241	11604
665	9257	11593
666	9268	11575
667	9278	11557
668	9305	11558
669	9320	11546
670	9330	11527
671	9352	11523
672	9362	11504
673	9383	11500
674	9398	11487
675	9408	11468
676	9419	11450
677	9429	11431
678	9439	11413
679	9460	11407
680	9470	11389
681	9480	11371
682	9492	11354
683	9502	11336
684	9521	11328
685	9532	11310
686	9552	11304
687	9563	11286
688	9574	11269
689	9585	11252
690	9595	11234
691	9606	11216
692	9630	11215
693	9646	11203
694	9656	11185
695	9667	11167
696	9678	11150
697	9694	11138
698	9710	11127
699	9726	11115
700	9742	11104
701	9752	11086
702	9762	11068
703	9773	11050
704	9794	11045
705	9820	11044
706	9836	11032
707	9852	11021
708	9862	11003
709	9872	10985
710	9883	10967
711	9893	10949
712	9914	10943
713	9925	10925
714	9935	10908
715	9961	10907
716	9971	10889
717	9982	10871
718	10008	10871
719	10018	10853
720	10040	10847
721	10050	10830
722	10071	10824
723	10103	10829
724	10113	10811
725	10135	10805
726	10145	10787
727	10167	10781
728	10182	10768
729	10197	10756
730	10212	10743
731	10227	10730
732	10243	10718
733	10253	10700
734	10263	10682
735	10273	10664
736	10283	10646
737	10294	10628
738	10305	10611
739	10315	10594
740	10325	10576
741	10336	10558
742	10346	10541
743	10356	10523
744	10366	10505
745	10401	10513
746	10417	10501
747	10432	10488
748	10443	10470
749	10453	10453
750	10463	10435
751	10473	10417
752	10483	10400
753	10493	10382
754	10511	10372
755	10527	10360
756	10543	10348
757	10553	10331
758	10575	10324
759	10585	10307
760	10595	10289
761	10605	10271
762	10622	10260
763	10638	10248
764	10648	10230
765	10669	10224
766	10685	10211
767	10701	10199
768	10717	10188
769	10727	10170
770	10738	10153
771	10764	10150
772	10774	10133
773	10785	10116
774	10795	10099
775	10806	10081
776	10826	10074
777	10841	10061
778	10857	10049
779	10868	10032
780	10878	10014
781	10888	9997
782	10898	9980
783	10909	9963
784	10919	9945
785	10936	9934
786	10946	9917
787	10968	9910
788	10978	9893
789	11000	9886
790	11010	9869
791	11020	9852
792	11031	9834
793	11047	9823
794	11062	9810
795	11073	9793
796	11083	9776
797	11109	9773
798	11125	9760
799	11141	9748
800	11151	9731
801	11173	9724
802	11183	9707
803	11205	9699
804	11215	9682
805	11236	9675
806	11247	9658
807	11268	9650
808	11284	9638
809	11300	9626
810	11316	9613
811	11326	9596
812	11336	9579
813	11363	9576
814	11373	9559
815	11383	9542
816	11393	9524
817	11410	9513
818	11420	9496
819	11431	9479
820	11441	9462
821	11474	9464
822	11490	9451
823	11506	9439
824	11521	9427
825	11532	9410
826	11542	9393
827	11568	9389
828	11584	9376
829	11595	9360
830	11605	9343
831	11615	9326
832	11632	9314
833	11642	9297
834	11652	9280
835	11662	9263
836	11673	9246
837	11683	9229
838	11693	9212
839	11704	9196
840	11727	9189
841	11737	9172
842	11759	9164
843	11769	9147
844	11779	9130
845	11790	9114
846	11806	9102
847	11821	9089
848	11831	9072
849	11841	9055
850	11853	9039
851	11885	9039
852	11895	9022
853	11905	9005
854	11915	8989
855	11926	8972
856	11936	8955
857	11948	8940
858	11958	8923
859	11968	8907
860	11980	8891
861	11990	8874
862	12012	8866
863	12028	8853
864	12038	8837
865	12048	8820
866	12059	8804
867	12069	8788
868	12091	8779
869	12101	8763
870	12112	8746
871	12138	8741
872	12148	8725
873	12169	8716
874	12180	8700
875	12190	8683
876	12216	8678
877	12247	8676
878	12258	8660
879	12268	8643
880	12278	8626
881	12288	8610
882	12298	8593
883	12308	8577
884	12327	8566
885	12337	8549
886	12358	8541
887	12369	8524
888	12379	8508
889	12389	8491
890	12405	8479
891	12421	8466
892	12437	8453
893	12447	8437
894	12457	8420
895	12469	8405
896	12479	8389
897	12489	8372
898	12499	8356
899	12516	8344
900	12527	8328
901	12538	8312
902	12550	8297
903	12564	8283
904	12580	8270
905	12590	8254
906	12611	8245
907	12622	8229
908	12632	8213
909	12643	8197
910	12653	8181
911	12664	8165
912	12674	8148
913	12684	8132
914	12694	8116
915	12706	8101
916	12716	8085
917	12738	8076
918	12754	8063
919	12764	8047
920	12786	8038
921	12796	8022
922	12806	8005
923	12817	7989
924	12833	7977
925	12843	7961
926	12854	7945
927	12880	7939
928	12896	7926
929	12906	7910
930	12928	7901
931	12960	7898
932	12970	7882
933	12992	7873
934	13002	7857
935	13024	7848
936	13040	7835
937	13050	7819
938	13072	7809
939	13088	7797
940	13098	7781
941	13108	7764
942	13118	7748
943	13133	7735
944	13156	7726
945	13166	7710
946	13176	7694
947	13213	7693
948	13223	7677
949	13233	7661
950	13244	7645
951	13260	7633
952	13270	7617
953	13280	7601
954	13291	7584
955	13308	7572
956	13318	7556
957	13340	7547
958	13350	7531
959	13361	7515
960	13371	7499
961	13381	7483
962	13391	7467
963	13401	7451
964	13419	7439
965	13435	7427
966	13445	7411
967	13467	7401
968	13477	7385
969	13498	7375
970	13509	7359
